reference_designator,start_depth,end_depth,location
CP03ISSM-MFD37-01-OPTAAD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-03-CTDBPD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-04-DOSTAD000,91.5,91.5,Multi-Function Node
CP03ISSM-MFD37-07-ZPLSCC000,91.5,91.5,Multi-Function Node
CP03ISSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CP03ISSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CP03ISSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CP03ISSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP03ISSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CP03ISSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CP03ISSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CP03ISSM-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CP03ISSP-PL001-01-ACOMM0000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-02-OPTAAJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-03-NUTNRJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-05-VELPTJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-06-DOSTAJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-07-SPKIRJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-08-CTDPFJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-09-FLORTJ000,0,80,Surface Piercing Profiler
CP03ISSP-SP001-10-PARADJ000,0,80,Surface Piercing Profiler
CP04OSPM-SBS11-02-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP04OSPM-WFP01-01-VEL3DK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-02-DOFSTK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-03-CTDPFK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-04-FLORTK000,15,427,Wire Following Profiler Body
CP04OSPM-WFP01-05-PARADK000,15,427,Wire Following Profiler Body
CP04OSSM-MFD35-01-ADCPSJ000,450,450,Multi-Function Node
CP04OSSM-MFD35-02-PRESFC000,450,450,Multi-Function Node
CP04OSSM-MFD35-04-VELPTB000,450,450,Multi-Function Node
CP04OSSM-MFD35-05-PCO2WB000,450,450,Multi-Function Node
CP04OSSM-MFD35-06-PHSEND000,450,450,Multi-Function Node
CP04OSSM-MFD37-01-OPTAAD000,450,450,Multi-Function Node
CP04OSSM-MFD37-03-CTDBPE000,450,450,Multi-Function Node
CP04OSSM-MFD37-04-DOSTAD000,450,450,Multi-Function Node
CP04OSSM-MFD37-07-ZPLSCC000,450,450,Multi-Function Node
CP04OSSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CP04OSSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CP04OSSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CP04OSSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CP04OSSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CP04OSSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CP04OSSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CP04OSSM-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CP05MOAS-AV001-01-FLORTN000,0,600,AUV Science Bay
CP05MOAS-AV001-02-DOSTAN000,0,600,AUV Science Bay
CP05MOAS-AV001-03-CTDAVN000,0,600,AUV Science Bay
CP05MOAS-AV001-04-NUTNRN000,0,600,AUV Science Bay
CP05MOAS-AV001-05-ADCPAN000,0,600,AUV Science Bay
CP05MOAS-AV001-06-PARADN000,0,600,AUV Science Bay
CP05MOAS-AV002-01-FLORTN000,0,600,AUV Science Bay
CP05MOAS-AV002-02-DOSTAN000,0,600,AUV Science Bay
CP05MOAS-AV002-03-CTDAVN000,0,600,AUV Science Bay
CP05MOAS-AV002-04-NUTNRN000,0,600,AUV Science Bay
CP05MOAS-AV002-05-ADCPAN000,0,600,AUV Science Bay
CP05MOAS-AV002-06-PARADN000,0,600,AUV Science Bay
CP05MOAS-GL001-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL001-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL001-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL001-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL001-05-PARADM000,0,1000,Glider Science Bay
CP05MOAS-GL002-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL002-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL002-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL002-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL002-05-PARADM000,0,1000,Glider Science Bay
CP05MOAS-GL003-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL003-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL003-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL003-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL003-05-PARADM000,0,1000,Glider Science Bay
CP05MOAS-GL004-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL004-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL004-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL004-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL004-05-PARADM000,0,1000,Glider Science Bay
CP05MOAS-GL005-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL005-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL005-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL005-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL005-05-PARADM000,0,1000,Glider Science Bay
CP05MOAS-GL006-01-ADCPAM000,0,1000,Glider Science Bay
CP05MOAS-GL006-02-FLORTM000,0,1000,Glider Science Bay
CP05MOAS-GL006-03-CTDGVM000,0,1000,Glider Science Bay
CP05MOAS-GL006-04-DOSTAM000,0,1000,Glider Science Bay
CP05MOAS-GL006-05-PARADM000,0,1000,Glider Science Bay
GA01SUMO-RID16-00-ACOMM0000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-01-OPTAAD000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-02-FLORTD000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-03-CTDBPF000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-04-VELPTA000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-05-PCO2WB000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-06-DOSTAD000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-07-NUTNRB000,12,12,Near Surface Instrument Frame
GA01SUMO-RID16-08-SPKIRB000,12,12,Near Surface Instrument Frame
GA01SUMO-RII11-02-ADCPSN010,500,500,Sensor cage
GA01SUMO-RII11-02-CTDBPP031,40,40,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDBPP032,80,80,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDBPP033,130,130,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ011,20,20,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ012,60,60,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ013,100,100,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ014,180,180,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ015,250,250,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ016,350,350,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOQ017,500,500,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOR018,750,750,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOR019,1000,1000,Fixed on Inductive Wire
GA01SUMO-RII11-02-CTDMOR020,1500,1500,Fixed on Inductive Wire
GA01SUMO-RII11-02-DOSTAD031,40,40,Fixed on Inductive Wire
GA01SUMO-RII11-02-DOSTAD032,80,80,Fixed on Inductive Wire
GA01SUMO-RII11-02-DOSTAD033,130,130,Fixed on Inductive Wire
GA01SUMO-RII11-02-FLORDG031,40,40,Fixed on Inductive Wire
GA01SUMO-RII11-02-FLORDG032,80,80,Fixed on Inductive Wire
GA01SUMO-RII11-02-FLORDG033,130,130,Fixed on Inductive Wire
GA01SUMO-RII11-02-PCO2WC051,40,40,Fixed on Inductive Wire
GA01SUMO-RII11-02-PCO2WC052,80,80,Fixed on Inductive Wire
GA01SUMO-RII11-02-PCO2WC053,130,130,Fixed on Inductive Wire
GA01SUMO-RII11-02-PHSENE041,20,20,Fixed on Inductive Wire
GA01SUMO-RII11-02-PHSENE042,100,100,Fixed on Inductive Wire
GA01SUMO-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
GA01SUMO-SBD11-03-HYDGN0000,0,0,Buoy Well
GA01SUMO-SBD11-04-DOSTAD000,1,1,Bottom of Buoy
GA01SUMO-SBD11-05-SPKIRB000,-5,-5,Buoy Tower
GA01SUMO-SBD11-06-METBKA000,-5,-5,Buoy Tower
GA01SUMO-SBD11-08-NUTNRB000,1,1,Bottom of Buoy
GA01SUMO-SBD12-01-OPTAAD000,1,1,Bottom of Buoy
GA01SUMO-SBD12-02-FLORTD000,1,1,Bottom of Buoy
GA01SUMO-SBD12-03-HYDGN0000,0,0,Buoy Well
GA01SUMO-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
GA01SUMO-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
GA01SUMO-SBD12-06-METBKA000,-5,-5,Buoy Tower
GA02HYPM-MPM01-02-ZPLSGA009,150,150,Mid-Water Platform
GA02HYPM-MPM01-02-ZPLSGA010,150,150,Mid-Water Platform
GA02HYPM-RIS01-01-CTDMOG039,164,164,Fixed on Inductive Wire
GA02HYPM-WFP02-01-FLORDL000,310,2600,Wire Following Profiler Body
GA02HYPM-WFP02-03-DOSTAL000,310,2600,Wire Following Profiler Body
GA02HYPM-WFP02-04-CTDPFL000,310,2600,Wire Following Profiler Body
GA02HYPM-WFP02-05-VEL3DL000,310,2600,Wire Following Profiler Body
GA02HYPM-WFP03-01-FLORDL000,2600,5000,Wire Following Profiler Body
GA02HYPM-WFP03-03-DOSTAL000,2600,5000,Wire Following Profiler Body
GA02HYPM-WFP03-04-CTDPFL000,2600,5000,Wire Following Profiler Body
GA02HYPM-WFP03-05-VEL3DL000,2600,5000,Wire Following Profiler Body
GA03FLMA-RIM01-02-ACOMM0000,1500,1500,Sensor cage
GA03FLMA-RIM01-02-ADCPSL003,500,500,ADCP Float
GA03FLMA-RIM01-02-CTDMOG040,30,30,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG041,40,40,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG042,60,60,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG043,90,90,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG044,130,130,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG045,180,180,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG046,250,250,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG047,350,350,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOG048,500,500,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOH049,750,750,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOH050,1000,1000,Fixed on Inductive Wire
GA03FLMA-RIM01-02-CTDMOH051,1500,1500,Fixed on Inductive Wire
GA03FLMA-RIS01-03-DOSTAD000,30,30,Sensor cage
GA03FLMA-RIS01-04-PHSENF000,30,30,Sensor cage
GA03FLMA-RIS01-05-FLORTD000,30,30,Sensor cage
GA03FLMB-RIM01-02-ACOMM0000,1500,1500,Sensor cage
GA03FLMB-RIM01-02-ADCPSL007,500,500,ADCP Float
GA03FLMB-RIM01-02-CTDMOG060,30,30,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG061,40,40,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG062,60,60,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG063,90,90,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG064,130,130,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG065,180,180,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG066,250,250,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG067,350,350,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOG068,500,500,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOH069,750,750,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOH070,1000,1000,Fixed on Inductive Wire
GA03FLMB-RIM01-02-CTDMOH071,1500,1500,Fixed on Inductive Wire
GA03FLMB-RIS01-03-DOSTAD000,30,30,Sensor cage
GA03FLMB-RIS01-04-PHSENF000,30,30,Sensor cage
GA03FLMB-RIS01-05-FLORTD000,30,30,Sensor cage
GA05MOAS-GL001-01-FLORDM000,0,1000,Glider Science Bay
GA05MOAS-GL001-02-DOSTAM000,0,1000,Glider Science Bay
GA05MOAS-GL001-03-ACOMMM000,0,1000,Glider Science Bay
GA05MOAS-GL001-04-CTDGVM000,0,1000,Glider Science Bay
GA05MOAS-GL002-01-FLORDM000,0,1000,Glider Science Bay
GA05MOAS-GL002-02-DOSTAM000,0,1000,Glider Science Bay
GA05MOAS-GL002-03-ACOMMM000,0,1000,Glider Science Bay
GA05MOAS-GL002-04-CTDGVM000,0,1000,Glider Science Bay
GA05MOAS-GL003-01-FLORDM000,0,1000,Glider Science Bay
GA05MOAS-GL003-02-DOSTAM000,0,1000,Glider Science Bay
GA05MOAS-GL003-03-ACOMMM000,0,1000,Glider Science Bay
GA05MOAS-GL003-04-CTDGVM000,0,1000,Glider Science Bay
GA05MOAS-PG001-01-CTDGVM000,0,1000,Glider Science Bay
GA05MOAS-PG001-02-DOSTAM000,0,1000,Glider Science Bay
GA05MOAS-PG001-03-FLORTM000,0,1000,Glider Science Bay
GA05MOAS-PG001-04-FLORTO000,0,1000,Glider Science Bay
GA05MOAS-PG001-05-NUTNRM000,0,1000,Glider Science Bay
GA05MOAS-PG001-06-PARADM000,0,1000,Glider Science Bay
GA05MOAS-PG002-01-CTDGVM000,0,1000,Glider Science Bay
GA05MOAS-PG002-02-DOSTAM000,0,1000,Glider Science Bay
GA05MOAS-PG002-03-FLORTM000,0,1000,Glider Science Bay
GA05MOAS-PG002-04-FLORTO000,0,1000,Glider Science Bay
GA05MOAS-PG002-05-NUTNRM000,0,1000,Glider Science Bay
GA05MOAS-PG002-06-PARADM000,0,1000,Glider Science Bay
GI01SUMO-RID16-00-ACOMM0000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-01-OPTAAD000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-02-FLORTD000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-03-CTDBPF000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-04-VELPTA000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-05-PCO2WB000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-06-DOSTAD000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-07-NUTNRB000,12,12,Near Surface Instrument Frame
GI01SUMO-RID16-08-SPKIRB000,12,12,Near Surface Instrument Frame
GI01SUMO-RII11-02-ADCPSN010,500,500,Sensor cage
GI01SUMO-RII11-02-CTDBPP031,40,40,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDBPP032,80,80,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDBPP033,130,130,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ011,20,20,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ012,60,60,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ013,100,100,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ014,180,180,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ015,250,250,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ016,350,350,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOQ017,500,500,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOR018,750,750,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOR019,1000,1000,Fixed on Inductive Wire
GI01SUMO-RII11-02-CTDMOR020,1500,1500,Fixed on Inductive Wire
GI01SUMO-RII11-02-DOSTAD031,40,40,Fixed on Inductive Wire
GI01SUMO-RII11-02-DOSTAD032,80,80,Fixed on Inductive Wire
GI01SUMO-RII11-02-DOSTAD033,130,130,Fixed on Inductive Wire
GI01SUMO-RII11-02-FLORDG031,40,40,Fixed on Inductive Wire
GI01SUMO-RII11-02-FLORDG032,80,80,Fixed on Inductive Wire
GI01SUMO-RII11-02-FLORDG033,130,130,Fixed on Inductive Wire
GI01SUMO-RII11-02-PCO2WC051,40,40,Fixed on Inductive Wire
GI01SUMO-RII11-02-PCO2WC052,80,80,Fixed on Inductive Wire
GI01SUMO-RII11-02-PCO2WC053,130,130,Fixed on Inductive Wire
GI01SUMO-RII11-02-PHSENE041,20,20,Fixed on Inductive Wire
GI01SUMO-RII11-02-PHSENE042,100,100,Fixed on Inductive Wire
GI01SUMO-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
GI01SUMO-SBD11-03-HYDGN0000,0,0,Buoy Well
GI01SUMO-SBD11-04-DOSTAD000,1,1,Bottom of Buoy
GI01SUMO-SBD11-05-SPKIRB000,-5,-5,Buoy Tower
GI01SUMO-SBD11-06-METBKA000,-5,-5,Buoy Tower
GI01SUMO-SBD11-08-NUTNRB000,1,1,Bottom of Buoy
GI01SUMO-SBD12-01-OPTAAD000,1,1,Bottom of Buoy
GI01SUMO-SBD12-02-FLORTD000,1,1,Bottom of Buoy
GI01SUMO-SBD12-03-HYDGN0000,0,0,Buoy Well
GI01SUMO-SBD12-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
GI01SUMO-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
GI01SUMO-SBD12-06-METBKA000,-5,-5,Buoy Tower
GI01SUMO-SBD12-08-FDCHPA000,-5,-5,Buoy Tower
GI02HYPM-MPM01-02-ZPLSGA009,150,150,Mid-Water Platform
GI02HYPM-MPM01-02-ZPLSGA010,150,150,Mid-Water Platform
GI02HYPM-RIM01-02-CTDMOG039,164,164,Fixed on Inductive Wire
GI02HYPM-WFP02-01-FLORDL000,260,2600,Wire Following Profiler Body
GI02HYPM-WFP02-03-DOSTAL000,260,2600,Wire Following Profiler Body
GI02HYPM-WFP02-04-CTDPFL000,260,2600,Wire Following Profiler Body
GI02HYPM-WFP02-05-VEL3DL000,260,2600,Wire Following Profiler Body
GI03FLMA-RI000-00-CTDMOH000,1700,1700,Fixed on Inductive Wire
GI03FLMA-RI000-00-CTDMOH100,2600,2600,Fixed on Inductive Wire
GI03FLMA-RI000-00-CTDMOH400,2300,2300,Fixed on Inductive Wire
GI03FLMA-RI000-00-CTDMOH700,2000,2000,Fixed on Inductive Wire
GI03FLMA-RI000-00-VELPTB000,1700,1700,Fixed on Inductive Wire
GI03FLMA-RI000-00-VELPTB100,2600,2600,Fixed on Inductive Wire
GI03FLMA-RI000-00-VELPTB400,2300,2300,Fixed on Inductive Wire
GI03FLMA-RI000-00-VELPTB700,2000,2000,Fixed on Inductive Wire
GI03FLMA-RIM01-02-ACOMM0000,1500,1500,Sensor cage
GI03FLMA-RIM01-02-ADCPSL003,500,500,ADCP Float
GI03FLMA-RIM01-02-CTDMOG040,30,30,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG041,40,40,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG042,60,60,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG043,90,90,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG044,130,130,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG045,180,180,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG046,250,250,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG047,350,350,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOG048,500,500,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOH049,750,750,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOH050,1000,1000,Fixed on Inductive Wire
GI03FLMA-RIM01-02-CTDMOH051,1500,1500,Fixed on Inductive Wire
GI03FLMA-RIS01-03-DOSTAD000,30,30,Sensor cage
GI03FLMA-RIS01-04-PHSENF000,30,30,Sensor cage
GI03FLMA-RIS01-05-FLORTD000,30,30,Sensor cage
GI03FLMB-RI000-00-CTDMOH000,1800,1800,Fixed on Inductive Wire
GI03FLMB-RI000-00-CTDMOH100,2700,2700,Fixed on Inductive Wire
GI03FLMB-RI000-00-CTDMOH400,2400,2400,Fixed on Inductive Wire
GI03FLMB-RI000-00-CTDMOH700,2100,2100,Fixed on Inductive Wire
GI03FLMB-RI000-00-VELPTB000,1800,1800,Fixed on Inductive Wire
GI03FLMB-RI000-00-VELPTB100,2700,2700,Fixed on Inductive Wire
GI03FLMB-RI000-00-VELPTB400,2400,2400,Fixed on Inductive Wire
GI03FLMB-RI000-00-VELPTB700,2100,2100,Fixed on Inductive Wire
GI03FLMB-RIM01-02-ACOMM0000,1500,1500,Sensor cage
GI03FLMB-RIM01-02-ADCPSL007,500,500,ADCP Float
GI03FLMB-RIM01-02-CTDMOG060,30,30,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG061,40,40,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG062,60,60,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG063,90,90,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG064,130,130,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG065,180,180,Fixed on Inductive Wire
GI03FLMB-RIM01-02-CTDMOG066,250,250,Fixed on Inductive Wire
